reference,name,costPrice,stock,sellingPrice,category
LYK001,BABY BELLO ENS VIOLET 02P,3500,1,6500,robes
LYK002,BABY BELLO GREN CHAPEAU/MOUFLE,3000,10,6000,ensembles naissances
LYK003,BABY F CHAPEAUX 01 PONPON,500,5,1000,ensembles culotte
LYK004,BABY F CHAPEAUX 02 PONPONS,650,18,1300,ensemble pantalon
LYK005,BABYBUU ROBE,2828,12,5656,bonnets 
LYK006,BABYGO ENS 02P MARRON GARCON,2793,4,5586,chaussette
LYK007,BABYGO ENS 02PROSE FILLE,3339,4,6678,
LYK008,BABYGO ENS JOGGING VERT 02P,3250,2,6500,
LYK009,BABYHI ENS JAUNE 03P,3750,1,7500,
LYK010,BB CHERI BABY F ENS 02P,4500,2,9000,
LYK011,BB CHERI BABY F ENS02P ROSE,3500,4,7000,
LYK012,BB CHERI BABY F GREN,3950,4,7900,
LYK013,BB CHERI CANARIO 02P ,4130,4,8260,
LYK014,BB CHERI CANARIO COM?BI,4500,3,9000,
LYK015,BEBEDEXS 0904 ENS LIN PANTALON,3740,2,7480,
LYK016,BEBELOVE GREN,1750,10,3500,
LYK017,BELLA BANDEAUX,750,85,1500,
LYK018,BELLA BARETTES,400,14,800,
LYK019,BELLA CHAPEAUX BANDEAUX,1000,1,2000,
LYK020,BELLA CHAUSSETTE BALLERINE,453.33,60,1000,
LYK021,BELLA CHAUSSETTE COLLANT NŒUD,641.5,71,1283,
LYK022,BULSEN ROBE ROSE/BLANCHE ,3250,1,6500,
LYK023,CARNAVAL ENS 02P JAUNE MOURTADE FILLE,3458,3,6916,
LYK024,CHAPEAU SIMPLE ,204,12,408,
LYK025,CHAPEAU SIMPLE NOURNOURS,278.5,24,557,
LYK026,CHAUSETTE BEBELINA,750,11,1000,
LYK027,CHAUSSETTE 3,500,6,1000,
LYK028,CHAUSSETTE BOX 5,1750,3,3500,
LYK029,COSAY ENS 02P BABY 2025,2247,4,4494,
LYK030,COSAY ENS 02P VIOLET FILLE,3003,3,6006,
LYK031,COSAY ENS 03P GROS CŒUR,3801,3,7602,
